ts,vault_id,count,min,25perc,50perc,75perc,max
2023-04-01,1100,736,2835.0,19166.40389568396,21043.724938867683,24297.138414132773,68506.0
2023-04-01,1117,744,160.0,18503.50101335069,20923.463770537877,22841.098740412206,38141.0
2023-04-01,1118,765,63.0,38003.98387281884,38007.40013300931,38012.13807856911,38023.0
2023-04-01,1097,761,949.0,18778.74470544678,21460.060068986586,23437.42970122712,76079.0
2023-04-01,1104,719,602.0,15326.189092757495,17560.354273979763,22005.878027026403,45548.0
2023-04-01,1092,720,47.0,49360.87427335596,49366.73551037605,49371.38347418311,60507.0
2023-04-01,1115,683,1109.0,15363.561166717222,17412.198588985997,21312.8775231697,38566.0
2023-04-01,1120,744,32.0,36496.36303266187,36500.180631215015,36505.94510400668,36514.0
2023-04-01,1091,688,346.0,49646.05090316262,49650.4314231995,49654.98367056554,78050.0
2023-04-01,1094,742,2524.0,17081.97395049102,18400.08630798777,21997.609587833358,45131.0
2023-04-01,1090,722,45.0,49913.28164158802,49948.672317164215,49960.54237692628,77082.0
2023-04-01,1106,734,316.0,17133.25290881338,18973.537831420534,21663.691100810607,77273.0
2023-04-01,1099,744,316.0,15765.60546092614,18806.794341442157,23355.18855140555,76509.0
2023-04-01,1111,745,602.0,39886.02633710746,39898.29379799352,39910.036440621225,39922.0
2023-04-01,1113,691,0.0,38943.79136073471,38951.35664756013,38965.26942779285,68898.0
2023-04-01,1095,745,174.0,17316.760281586703,19280.560908765172,23492.841473683293,45949.0
2023-04-01,1098,692,0.0,18387.687540810537,21413.089884910605,23347.345349747076,64179.0
2023-04-01,1105,722,47.0,17845.09177331582,19692.032076155672,22240.57818977237,69056.0
2023-04-01,1096,741,125.0,47553.89098759352,47558.044649089206,47584.83467136255,70280.0
2023-04-01,1103,733,689.0,14781.789937435384,18581.342796234334,21776.861498609134,71018.0
2023-04-01,1093,743,15.0,48876.56479654446,49000.73638694743,49007.52263567541,49018.0
2023-04-01,1109,731,601.0,17932.391497523637,20256.731899603266,23090.66096762578,84881.0
2023-04-01,1116,763,127.0,16003.827918192112,17969.94156614458,20361.233398196702,85694.0
2023-04-01,1112,728,633.0,17430.06056122766,18991.982230775622,22374.761919661796,51500.0
2023-04-01,1110,742,285.0,17670.6522971615,19157.6060757074,23073.67045934411,41441.0
2023-04-01,1107,691,1053.0,16879.586256059087,18419.0583814525,22777.695941151756,43402.0
2023-04-01,1108,724,4537.0,17391.530488561657,20754.824668571116,23365.9882021206,42078.0
2023-04-01,1102,722,221.0,18417.166995548003,21672.07617862659,24022.823102561924,66424.0
2023-04-01,1119,744,759.0,17930.428675940475,19409.202308966145,22908.03880980774,37375.0
2023-04-01,1114,749,158.0,17976.427200086924,19088.058851339923,22066.607079267473,82020.0
2023-04-01,1101,690,2391.0,16080.454660946069,19885.081681177657,23503.616105793244,46250.0
